cliente;ciudad;valor;tipo.cliente;forma de pago;dias de 1;descuentos especiales
15610;11;143.82;6;1;3;1
15611;8;164.9;1;1;3;1
15615;3;109.41;5;1;3;1
15616;3;92.54;1;1;2;2
15617;19;81.93;6;1;2;2
15618;2;63.13;4;1;2;2
15619;3;241.09;6;1;3;1
15620;5;22.45;4;2;1;1
15621;4;54.37;4;1;2;2
15622;19;75.34;4;1;2;2
15623;4;28.68;10;2;1;1
15624;8;28.38;6;2;1;1
15625;1;117.32;1;1;3;1
15627;19;198.89;12;1;3;1
15629;3;2;13;2;1;1
15631;3;251.5;9;1;3;1
15632;3;43.07;11;2;1;1
15633;15;174.81;9;1;3;1
15634;11;89.06;11;1;2;2
15635;11;12.94;13;2;1;1
15636;11;45.45;13;2;1;1
15637;11;8.89;13;2;1;1
15638;11;152.41;4;1;3;1
15639;11;20.34;13;2;1;1
15640;11;14.15;13;2;1;1
15641;11;15.57;13;2;1;1
15642;11;25.95;13;2;1;1
15643;11;63.25;6;1;2;2
15644;11;11.07;13;2;1;1
15645;11;21.64;13;2;1;1
15646;11;18.2;13;2;1;1
15647;11;14.63;13;2;1;1
15648;11;20.53;13;2;1;1
15649;11;11.65;13;2;1;1
15650;11;10.34;13;2;1;1
15651;11;43.98;13;2;1;1
15652;11;25.38;13;2;1;1
15653;11;17.37;13;2;1;1
15654;11;9.67;13;2;1;1
15656;11;16.39;13;2;1;1
15657;11;4.6;13;2;1;1
15658;11;3.26;13;2;1;1
15659;11;52.88;12;1;2;2
15660;6;39.71;13;2;1;1
15661;6;185.78;4;1;3;1
15662;11;159.64;1;1;3;1
15663;3;42.22;13;2;1;1
15664;4;14.4;13;2;1;1
15665;19;120.06;4;1;3;1
15666;11;22.43;13;2;1;1
15667;11;2;13;2;1;1
15668;11;20.1;13;2;1;1
15669;11;21.48;13;2;1;1
15670;11;70.38;5;1;2;2
15671;3;16.09;6;2;1;1
15672;18;21.02;13;2;1;1
15673;3;233.27;1;1;3;1
15674;5;55.08;9;1;2;2
15676;15;19.24;13;2;1;1
15677;15;37.5;13;2;1;1
15678;14;46.67;13;1;2;2
15679;11;29.52;13;2;1;1
15680;11;51.95;13;1;2;2
15681;9;137.73;12;1;3;1
15682;13;31.62;13;2;1;1
15683;13;61.34;11;1;2;2
15684;13;106.87;13;1;3;1
15685;15;172.11;1;1;3;1
15686;5;27.98;13;2;1;1
15687;11;56.38;5;1;2;2
15688;3;41.92;13;2;1;1
15689;5;568.13;9;1;3;1
15690;19;28.4;4;2;1;1
15691;1;35.2;13;2;1;1
15692;7;35.89;13;2;1;1
15693;11;139.82;11;1;3;1
15694;19;41.71;13;2;1;1
15695;7;26.49;13;2;1;1
15696;5;28.54;13;2;1;1
15697;3;137.59;4;1;3;1
15698;3;97.92;9;1;2;2
15699;15;22.51;13;2;1;1
15700;3;34.12;13;2;1;1
15701;6;32.72;12;2;1;1
15702;6;89.06;4;1;2;2
15703;6;99.44;4;1;2;2
16000;6;88.53;8;1;2;2
16573;17;36.44;13;2;1;1
16574;15;26.01;13;2;1;1
16575;5;23.61;13;2;1;1
16576;5;38.4;13;2;1;1
16577;10;85.56;13;1;2;2
16578;14;71.99;13;1;2;2
